[ 25, 0 ]
[ 25.0423, 1.38556 ]
[ 25.0694, 2.74248 ]
[ 25.0816, 4.07112 ]
[ 25.0792, 5.37184 ]
[ 25.0624, 6.645 ]
[ 25.0317, 7.89096 ]
[ 24.9872, 9.11008 ]
[ 24.9293, 10.3027 ]
[ 24.8583, 11.4692 ]
[ 24.7745, 12.61 ]
[ 24.6781, 13.7254 ]
[ 24.5695, 14.8157 ]
[ 24.449, 15.8813 ]
[ 24.3168, 16.9226 ]
[ 24.1733, 17.94 ]
[ 24.0188, 18.9338 ]
[ 23.8534, 19.9043 ]
[ 23.6777, 20.8519 ]
[ 23.4918, 21.777 ]
[ 23.296, 22.68 ]
[ 23.0907, 23.5612 ]
[ 22.8761, 24.4209 ]
[ 22.6525, 25.2595 ]
[ 22.4203, 26.0774 ]
[ 22.1797, 26.875 ]
[ 21.931, 27.6526 ]
[ 21.6746, 28.4105 ]
[ 21.4106, 29.1491 ]
[ 21.1395, 29.8688 ]
[ 20.8615, 30.57 ]
[ 20.5769, 31.253 ]
[ 20.286, 31.9181 ]
[ 19.9891, 32.5657 ]
[ 19.6865, 33.1962 ]
[ 19.3786, 33.81 ]
[ 19.0655, 34.4074 ]
[ 18.7476, 34.9887 ]
[ 18.4252, 35.5543 ]
[ 18.0985, 36.1046 ]
[ 17.768, 36.64 ]
[ 17.4338, 37.1608 ]
[ 17.0964, 37.6673 ]
[ 16.7558, 38.1599 ]
[ 16.4126, 38.639 ]
[ 16.0669, 39.105 ]
[ 15.7191, 39.5582 ]
[ 15.3695, 39.9989 ]
[ 15.0183, 40.4275 ]
[ 14.6659, 40.8444 ]
[ 14.3125, 41.25 ]
[ 13.9585, 41.6446 ]
[ 13.6041, 42.0285 ]
[ 13.2497, 42.4021 ]
[ 12.8955, 42.7658 ]
[ 12.5418, 43.12 ]
[ 12.189, 43.465 ]
[ 11.8373, 43.8011 ]
[ 11.487, 44.1287 ]
[ 11.1385, 44.4482 ]
[ 10.792, 44.76 ]
[ 10.4478, 45.0644 ]
[ 10.1062, 45.3617 ]
[ 9.76758, 45.6523 ]
[ 9.43213, 45.9366 ]
[ 9.10019, 46.215 ]
[ 8.77205, 46.4878 ]
[ 8.44802, 46.7553 ]
[ 8.12838, 47.0179 ]
[ 7.81345, 47.276 ]
[ 7.5035, 47.53 ]
[ 7.19884, 47.7802 ]
[ 6.89978, 48.0269 ]
[ 6.60659, 48.2705 ]
[ 6.31959, 48.5114 ]
[ 6.03906, 48.75 ]
[ 5.76531, 48.9866 ]
[ 5.49863, 49.2215 ]
[ 5.23932, 49.4551 ]
[ 4.98768, 49.6878 ]
[ 4.744, 49.92 ]
[ 4.50858, 50.152 ]
[ 4.28172, 50.3841 ]
[ 4.06371, 50.6167 ]
[ 3.85485, 50.8502 ]
[ 3.65544, 51.085 ]
[ 3.46577, 51.3214 ]
[ 3.28615, 51.5597 ]
[ 3.11686, 51.8003 ]
[ 2.95822, 52.0436 ]
[ 2.8105, 52.29 ]
[ 2.67401, 52.5398 ]
[ 2.54906, 52.7933 ]
[ 2.43592, 53.0509 ]
[ 2.33491, 53.313 ]
[ 2.24631, 53.58 ]
[ 2.17043, 53.8522 ]
[ 2.10756, 54.1299 ]
[ 2.058, 54.4135 ]
[ 2.02205, 54.7034 ]
[ 2, 55 ]
[ 2, 75 ]
[ 1.98696, 75.6234 ]
[ 1.98764, 76.2338 ]
[ 2.00178, 76.8314 ]
[ 2.02912, 77.4162 ]
[ 2.06937, 77.9885 ]
[ 2.12228, 78.5484 ]
[ 2.18756, 79.0962 ]
[ 2.26496, 79.6319 ]
[ 2.35419, 80.1558 ]
[ 2.455, 80.668 ]
[ 2.5671, 81.1687 ]
[ 2.69024, 81.658 ]
[ 2.82413, 82.1361 ]
[ 2.96852, 82.6032 ]
[ 3.12312, 83.0595 ]
[ 3.28768, 83.5051 ]
[ 3.46191, 83.9402 ]
[ 3.64556, 84.3649 ]
[ 3.83834, 84.7795 ]
[ 4.04, 85.184 ]
[ 4.25025, 85.5787 ]
[ 4.46884, 85.9637 ]
